longitude,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_n,room_type_n
-73.96143,2.0,68.0,3.0,362.0,22.0,0.0
-73.93616,2.0,3.0,1.0,0.0,2.0,0.0
-73.85025,2.0,9.0,2.0,4.0,63.0,1.0
-73.8874,1.0,19.0,2.0,143.0,103.0,1.0
-73.95871,3.0,35.0,2.0,0.0,28.0,1.0
-73.95002,1.0,17.0,1.0,362.0,6.0,1.0
-73.98344,1.0,0.0,1.0,0.0,8.0,1.0
-73.88748,2.0,6.0,3.0,77.0,144.0,0.0
-74.08682,3.0,3.0,1.0,232.0,41.0,1.0
-73.94936,1.0,13.0,8.0,311.0,15.0,0.0
-73.91202,30.0,0.0,9.0,43.0,21.0,0.0
-73.89902,1.0,0.0,1.0,0.0,44.0,0.0
-73.98939,2.0,3.0,1.0,0.0,19.0,1.0
-73.77339,30.0,0.0,43.0,313.0,184.0,0.0
-73.98239,1.0,1.0,2.0,0.0,19.0,0.0
-74.00717,1.0,9.0,7.0,180.0,111.0,0.0
-73.99535,55.0,11.0,1.0,204.0,14.0,0.0
-74.01022,1.0,12.0,1.0,0.0,77.0,1.0
-73.95344,2.0,7.0,1.0,0.0,28.0,0.0
-73.92785,2.0,9.0,1.0,0.0,21.0,0.0
-73.97569,2.0,5.0,327.0,82.0,5.0,1.0
-73.91189,2.0,7.0,2.0,156.0,66.0,0.0
-73.98277,2.0,7.0,1.0,36.0,19.0,1.0
-73.95916,2.0,3.0,2.0,0.0,12.0,1.0
-73.90947,2.0,59.0,2.0,232.0,49.0,0.0
-73.99555,1.0,162.0,4.0,60.0,111.0,0.0
-73.81327,2.0,65.0,6.0,364.0,37.0,0.0
-73.9598,4.0,6.0,1.0,0.0,12.0,0.0
-73.95249,3.0,10.0,1.0,0.0,2.0,0.0
-73.95012,30.0,13.0,2.0,252.0,12.0,1.0
-73.94299,2.0,1.0,3.0,319.0,6.0,0.0
